Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 20_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 15_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 20_level_1,eFG%,TOV%,DRB%,FT/FGA
1.0,Golden State Warriors,28.4,16.0,5.0,0.762,17,4,113.9,103.6,10.3,96.5,0.237,0.365,0.581,,0.545,11.9,21.8,0.195,,0.481,12.3,77.6,0.186
2.0,Indiana Pacers,26.2,3.0,4.0,0.429,5,2,110.9,104.6,6.3,90.7,0.241,0.339,0.567,,0.542,12.9,21.6,0.171,,0.503,14.3,77.7,0.238
3.0,Philadelphia 76ers,26.5,5.0,5.0,0.5,6,4,110.4,106.5,3.9,97.5,0.32,0.331,0.539,,0.493,12.6,29.1,0.243,,0.514,12.7,80.8,0.232
4.0,Houston Rockets,29.8,11.0,6.0,0.647,10,7,109.6,107.7,1.9,95.7,0.261,0.466,0.552,,0.514,11.3,20.0,0.201,,0.53,13.2,80.1,0.188
5.0,Boston Celtics,24.8,11.0,8.0,0.579,10,9,107.7,107.0,0.7,93.1,0.283,0.367,0.541,,0.5,11.1,20.4,0.217,,0.518,12.9,79.5,0.202
6.0,Milwaukee Bucks,25.3,3.0,4.0,0.429,3,4,108.8,109.4,-0.6,92.3,0.254,0.328,0.585,,0.561,13.1,14.7,0.179,,0.503,12.1,75.5,0.219
7.0,New Orleans Pelicans,26.8,5.0,4.0,0.556,4,5,107.1,107.8,-0.7,102.7,0.204,0.301,0.562,,0.533,12.9,17.7,0.16,,0.514,12.0,78.8,0.169
8.0,Cleveland Cavaliers,30.3,12.0,10.0,0.545,10,12,109.4,111.2,-1.8,91.6,0.282,0.37,0.55,,0.512,12.1,23.5,0.212,,0.529,11.5,79.4,0.195
9.0,Washington Wizards,27.0,2.0,4.0,0.333,3,3,110.3,112.3,-2.0,97.2,0.274,0.256,0.561,,0.513,12.4,21.2,0.233,,0.539,13.1,78.1,0.239
10.0,Utah Jazz,25.6,5.0,6.0,0.455,5,6,104.7,106.9,-2.2,97.8,0.284,0.361,0.549,,0.52,14.3,20.8,0.195,,0.505,11.6,80.8,0.196
11.0,Oklahoma City Thunder,27.9,2.0,4.0,0.333,2,4,103.5,107.9,-4.4,97.8,0.245,0.333,0.528,,0.49,12.7,20.8,0.189,,0.521,13.7,75.4,0.212
12.0,Toronto Raptors,26.2,4.0,6.0,0.4,4,6,112.0,116.6,-4.6,94.8,0.29,0.324,0.578,,0.536,13.1,23.2,0.232,,0.541,10.5,79.1,0.217
13.0,Portland Trail Blazers,25.6,0.0,4.0,0.0,1,3,106.9,116.0,-9.1,98.7,0.173,0.354,0.539,,0.512,12.9,23.9,0.135,,0.582,13.0,81.1,0.203
14.0,Minnesota Timberwolves,27.6,1.0,4.0,0.2,1,4,107.0,116.2,-9.2,95.0,0.276,0.264,0.548,,0.515,12.0,20.1,0.201,,0.531,7.9,80.3,0.193
15.0,San Antonio Spurs,30.2,1.0,4.0,0.2,1,4,103.7,113.1,-9.4,93.3,0.274,0.337,0.515,,0.463,10.5,18.5,0.229,,0.535,12.9,73.7,0.205
16.0,Miami Heat,27.5,1.0,4.0,0.2,1,4,103.0,113.7,-10.7,100.4,0.345,0.333,0.542,,0.507,14.4,20.7,0.234,,0.514,13.6,70.4,0.279
,League Average,27.5,,,,5,5,108.9,108.9,,95.4,0.267,0.355,0.555,,0.518,12.3,21.4,0.204,,0.518,12.3,78.6,0.204
